"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
2,0,"3","0.9173657998908311",31,31,0,2,0,1
3,0,"0","1.284466400044039",31,31,0,3,1,1
1,0,"3","1.167971699964255",31,31,0,1,0,0
1,1,"1","0.5504092001356184",31,31,1,1,0,0
2,0,"1","0.5003156999591738",31,31,0,2,0,1
0,1,"0","1.0857946001924574",31,31,1,0,1,0
0,1,"0","1.2343105000909418",31,31,1,0,1,0
2,0,"3","0.8673721998929977",31,31,0,2,0,1
3,0,"1","0.7675152001902461",31,31,0,3,1,1
0,1,"0","1.4845275001134723",31,31,1,0,1,0
0,0,"2","1.4679015001747757",31,31,0,0,1,0
2,0,"1","1.2177648998331279",31,31,0,2,0,1
2,0,"0","1.184479699935764",31,31,0,2,0,1
2,0,"3","1.6512653999961913",31,31,0,2,0,1
1,0,"2","0.5669715001713485",31,31,0,1,0,0
2,0,"1","0.9339935998432338",31,31,0,2,0,1
2,0,"0","1.8858531001023948",31,31,0,2,0,1
2,0,"3","1.3844381000380963",31,31,0,2,0,1
3,0,"0","1.5345864000264555",31,31,0,3,1,1
1,0,"3","1.5678107999265194",31,31,0,1,0,0
3,0,"2","0.8337516998872161",31,31,0,3,1,1
1,1,"1","1.5012096997816116",31,31,1,1,0,0
2,0,"0","1.1009052000008523",31,31,0,2,0,1
0,0,"1","1.368080799933523",31,31,0,0,1,0
0,1,"0","1.2008307001087815",31,31,1,0,1,0
0,0,"3","1.1680236998945475",31,31,0,0,1,0
0,0,"3","1.9013537999708205",31,31,0,0,1,0
0,1,"0","1.217616100097075",31,31,1,0,1,0
1,0,"0","1.5346848999615759",31,31,0,1,0,0
0,0,"1","0.6834944000001997",31,31,0,0,1,0
1,0,"2","0.6836536000482738",31,31,0,1,0,0
1,0,"3","0.4168676999397576",31,31,0,1,0,0
3,1,"3","1.5189900000113994",31,31,1,3,1,1
3,0,"1","1.134157600114122",31,31,0,3,1,1
2,0,"0","1.117526999907568",31,31,0,2,0,1
1,1,"1","1.534488799981773",31,31,1,1,0,0
2,1,"2","0.8505555998999625",31,31,1,2,0,1
0,0,"3","1.351076299790293",31,31,0,0,1,0
3,0,"0","1.2341056000441313",31,31,0,3,1,1
0,0,"1","1.1177028000820428",31,31,0,0,1,0
2,0,"0","1.3345746998675168",31,31,0,2,0,1
1,1,"1","1.4845682999584824",31,31,1,1,0,0
0,0,"1","1.0006184000521898",31,31,0,0,1,0
2,0,"3","0.8510863000992686",31,31,0,2,0,1
1,1,"1","0.9840720999054611",31,31,1,1,0,0
2,0,"0","0.9175827000290155",31,31,0,2,0,1
1,0,"3","1.301128099905327",31,31,0,1,0,0
3,1,"3","1.0341156998183578",31,31,1,3,1,1
2,0,"1","0.549121200107038",31,31,0,2,0,1
0,1,"0","1.0509516999591142",31,31,1,0,1,0
3,0,"1","0.9841172001324594",31,31,0,3,1,1
2,1,"2","1.401298699900508",31,31,1,2,0,1
0,0,"3","1.2845093999058008",31,31,0,0,1,0
1,0,"0","1.2510593000333756",31,31,0,1,0,0
3,1,"3","1.5182205000892282",31,31,1,3,1,1
1,0,"0","1.7016851999796927",31,31,0,1,0,0
1,0,"3","0.951140700140968",31,31,0,1,0,0
1,1,"1","1.117426599841565",31,31,1,1,0,0
0,1,"0","1.7011082000099123",31,31,1,0,1,0
3,1,"3","0.7006536000408232",31,31,1,3,1,1
3,1,"3","1.4532772998791188",31,31,1,3,1,1
1,1,"1","1.0340088000521064",31,31,1,1,0,0
3,0,"0","1.317776900017634",31,31,0,3,1,1
0,0,"3","0.6841924998443574",31,31,0,0,1,0
2,0,"0","1.2843398000113666",31,31,0,2,0,1
1,1,"1","0.8676394999492913",31,31,1,1,0,0
1,0,"3","0.8338812999427319",31,31,0,1,0,0
3,0,"0","1.417737500043586",31,31,0,3,1,1
1,1,"1","1.167670999886468",31,31,1,1,0,0
2,0,"0","1.0339740999042988",31,31,0,2,0,1
2,1,"2","0.7672647000290453",31,31,1,2,0,1
0,0,"3","1.3179825998377055",31,31,0,0,1,0
0,0,"2","1.3512193001806736",31,31,0,0,1,0
2,0,"0","1.6346585999708623",31,31,0,2,0,1
1,0,"3","0.8008685999084264",31,31,0,1,0,0
0,0,"1","0.584042500006035",31,31,0,0,1,0
3,0,"1","1.4511643000878394",31,31,0,3,1,1
3,1,"3","1.101227100007236",31,31,1,3,1,1
3,1,"3","1.2511131998617202",31,31,1,3,1,1
3,0,"0","0.8507477000821382",31,31,0,3,1,1
0,0,"1","0.8841496000532061",31,31,0,0,1,0
2,1,"2","1.4009309001266956",31,31,1,2,0,1
0,1,"0","0.9008125001564622",31,31,1,0,1,0
1,0,"3","1.3844931998755783",31,31,0,1,0,0
1,0,"0","0.9009330999106169",31,31,0,1,0,0
2,1,"2","0.7851393001619726",31,31,1,2,0,1
3,0,"0","0.9841033001430333",31,31,0,3,1,1
1,1,"1","0.8508844999596477",31,31,1,1,0,0
3,0,"2","0.6837953999638557",31,31,0,3,1,1
3,1,"3","1.3681626000907272",31,31,1,3,1,1
3,1,"3","1.234144699992612",31,31,1,3,1,1
3,1,"3","1.5013986001722515",31,31,1,3,1,1
3,0,"1","0.8508173997979611",31,31,0,3,1,1
3,1,"3","1.4342445998918265",31,31,1,3,1,1
3,0,"0","0.584053099853918",31,31,0,3,1,1
1,0,"3","1.134228500071913",31,31,0,1,0,0
2,0,"1","0.550497000105679",31,31,0,2,0,1
1,0,"0","0.6346696000546217",31,31,0,1,0,0
2,0,"3","0.9174206999596208",31,31,0,2,0,1
1,1,"1","0.517305799992755",31,31,1,1,0,0
1,0,"0","0.5850539000239223",31,31,0,1,0,0
1,1,"1","0.6170219001360238",31,31,1,1,0,0
2,0,"0","0.834016100037843",31,31,0,2,0,1
0,0,"3","0.9524854000192136",31,31,0,0,1,0
2,0,"0","1.1343894000165164",31,31,0,2,0,1
3,0,"1","1.8687340999022126",31,31,0,3,1,1
1,1,"1","1.91830509994179",31,31,1,1,0,0
2,0,"1","0.9838119999039918",31,31,0,2,0,1
2,0,"0","0.8673789999447763",31,31,0,2,0,1
0,1,"0","1.1010552998632193",31,31,1,0,1,0
2,1,"2","1.2341696999501437",31,31,1,2,0,1
3,1,"3","0.6338440999388695",31,31,1,3,1,1
0,0,"1","0.9176416001282632",31,31,0,0,1,0
3,1,"3","1.1173980999737978",31,31,1,3,1,1
2,0,"0","1.0341157000511885",31,31,0,2,0,1
2,0,"1","0.5502414999064058",31,31,0,2,0,1
0,1,"0","0.6508092998992652",31,31,1,0,1,0
1,1,"1","0.7007065999787301",31,31,1,1,0,0
0,1,"0","1.4013090999796987",31,31,1,0,1,0
1,0,"3","1.0842038998380303",31,31,0,1,0,0
3,0,"0","1.6682049999944866",31,31,0,3,1,1
0,0,"3","0.9676764002069831",31,31,0,0,1,0
3,1,"3","1.5683778000529855",31,31,1,3,1,1
0,0,"1","0.9342300000134856",31,31,0,0,1,0
2,0,"0","1.701517199864611",31,31,0,2,0,1
1,0,"3","1.6011075000278652",31,31,0,1,0,0
3,1,"3","1.3343628000002354",31,31,1,3,1,1
1,1,"1","1.4345170999877155",31,31,1,1,0,0
1,0,"3","1.51974010001868",31,31,0,1,0,0
1,0,"0","1.3844242999330163",31,31,0,1,0,0
3,0,"2","1.234459799947217",31,31,0,3,1,1
0,1,"0","1.5512482000049204",31,31,1,0,1,0
1,0,"3","1.4011617000214756",31,31,0,1,0,0
0,0,"1","1.9016470999922603",31,31,0,0,1,0
1,0,"2","1.1676024000626057",31,31,0,1,0,0
3,1,"3","1.1342841000296175",31,31,1,3,1,1
2,0,"1","1.8683041001204401",31,31,0,2,0,1
2,0,"3","1.3845126999076456",31,31,0,2,0,1
3,0,"1","1.6512442999519408",31,31,0,3,1,1
3,1,"3","0.7335499001201242",31,31,1,3,1,1
